"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"When a country Taxes our products coming in at, say, 50%, and we Tax the same product coming into our country at ZE… https://t.co/UFVLaWepzN",FALSE,58661,NA,2018-03-02 13:57:22,TRUE,NA,"969572374977839106",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",15307,FALSE,FALSE,NA,NA
"We must protect our country and our workers. Our steel industry is in bad shape. IF YOU DON’T HAVE STEEL, YOU DON’T HAVE A COUNTRY!",FALSE,54136,NA,2018-03-02 13:01:58,FALSE,NA,"969558431802806272",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",12254,FALSE,FALSE,NA,NA
"Eric, we are all with you and your family! Look forward to seeing you back on T.V. https://t.co/d6y3Q00BSy",FALSE,32650,NA,2018-03-02 11:18:28,FALSE,NA,"969532384285687808",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",7246,FALSE,FALSE,NA,NA
"Alec Baldwin, whose dying mediocre career was saved by his terrible impersonation of me on SNL, now says playing me… https://t.co/Ntuy4BRXmJ",FALSE,85545,NA,2018-03-02 11:07:40,TRUE,NA,"969529668234829825",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",18466,FALSE,FALSE,NA,NA
"When a country (USA) is losing many billions of dollars on trade with virtually every country it does business with… https://t.co/lPSkkolNRP",FALSE,56191,NA,2018-03-02 10:50:34,TRUE,NA,"969525362580484098",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",13731,FALSE,FALSE,NA,NA
"Good (Great) meeting in the Oval Office tonight with the NRA!",FALSE,70154,NA,2018-03-02 03:04:51,FALSE,NA,"969408165308747777",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",13945,FALSE,FALSE,NA,NA
"Manufacturing growing at the fastest pace in almost two decades!",FALSE,59213,NA,2018-03-02 00:52:43,FALSE,NA,"969374909209239552",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",11870,FALSE,FALSE,NA,NA
"Jobless claims at a 49 year low!",FALSE,58661,NA,2018-03-02 00:51:28,FALSE,NA,"969374597127778304",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",12025,FALSE,FALSE,NA,NA
"Together, we will face this challenge as a national family with conviction, with unity, and with a commitment to lo… https://t.co/7sw39LHddj",FALSE,40548,NA,2018-03-01 21:31:32,TRUE,NA,"969324283036971009",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","realDonaldTrump",9548,FALSE,FALSE,NA,NA
"“Consumer Confidence in February Highest Since November 2000” https://t.co/UgAJRawExx",FALSE,37443,NA,2018-03-01 20:40:52,FALSE,NA,"969311530733981698",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",8851,FALSE,FALSE,NA,NA
